p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.76009727404504e-172	2.02016725497311	1	0.825	1.81800447436112e-168	1	kek1
1.11220648291847e-169	2.69774335393008	0.888	0.344	1.14879807620649e-165	1	sls
3.04035961021071e-168	1.34316204866309	1	0.969	3.14038744138664e-164	1	CG42394
4.62528424131642e-168	1.48985611113043	1	0.992	4.77745609285573e-164	1	klar
1.97486765939197e-166	1.63600968953037	0.954	0.531	2.03984080538597e-162	1	tmod
3.94312043003937e-166	1.54452693920401	0.939	0.479	4.07284909218767e-162	1	inaE
1.34248753928941e-165	1.76142866691331	0.565	0.066	1.38665537933203e-161	1	gogo
1.49807850220784e-165	3.35012066801387	0.829	0.269	1.54736528493048e-161	1	Appl
3.33841824966626e-163	2.05601438316822	0.586	0.073	3.44825221008028e-159	1	CG14516
1.26605397257873e-160	1.46139998297383	0.989	0.808	1.30770714827657e-156	1	stx
4.67656699815042e-158	1.41143228224319	1	0.976	4.83042605238957e-154	1	hdc
5.06643955724797e-158	2.33642440096912	1	0.943	5.23312541868143e-154	1	stai
5.2449455409707e-158	3.6460379005958	0.806	0.27	5.41750424926864e-154	1	scrt
6.67173081659786e-158	1.47354130749513	0.998	0.844	6.89123076046393e-154	1	CG3655
1.47371251055788e-155	2.50860470646017	0.618	0.091	1.52219765215524e-151	1	klg
1.42419773302795e-152	1.7548170583284	0.814	0.263	1.47105383844457e-148	1	hbs
2.4586628759299e-151	1.67253054492192	0.802	0.242	2.53955288454799e-147	1	aos
2.72375701268283e-151	1.35380664475476	0.363	0.006	2.8133686184001e-147	1	CG13288
3.42951655729301e-151	0.857827931581662	0.411	0.017	3.54234765202795e-147	1	Hmx
3.11342532397743e-149	3.0053906150398	0.861	0.362	3.21585701713628e-145	1	cpo
4.9839112364318e-149	1.46837794128958	0.951	0.51	5.14788191611041e-145	1	tutl
3.69232051826309e-148	1.66252132031017	0.977	0.726	3.81379786331395e-144	1	spi
4.032313330307e-147	-0.795374821336877	1	1	4.1649764388741e-143	1	RpLP0
5.06855461050829e-147	0.706244075218477	0.414	0.02	5.23531005719402e-143	1	Cad88C
8.07046843292697e-147	1.41476195465019	0.793	0.247	8.33598684437026e-143	1	CG32039
1.37983128544812e-146	1.33843194822156	1	0.948	1.42522773473937e-142	1	l(3)neo38
2.08151349786381e-146	1.85276373396212	0.553	0.07	2.14999529194352e-142	1	svp
3.29827485276948e-146	1.90451281863791	1	0.942	3.4067880954256e-142	1	mbl
5.53433635989004e-146	1.80604213040662	0.857	0.342	5.71641602613043e-142	1	DOR
6.32820388531017e-146	1.12771035498237	0.494	0.047	6.53640179313688e-142	1	CG13532
8.61192173870092e-146	1.18987043115607	0.521	0.057	8.89525396390418e-142	1	CG30419
1.96200065336452e-144	2.3932618922122	0.574	0.09	2.02655047486021e-140	1	lbm
1.56033212107953e-143	1.10538585929388	0.475	0.043	1.61166704786305e-139	1	CG6495
1.1631642173445e-142	1.41251552823195	0.992	0.776	1.20143232009513e-138	1	Cht2
3.56960779936128e-142	1.94661352031166	0.498	0.059	3.68704789596027e-138	1	CG15097
4.85570490310984e-142	2.62792410247036	0.703	0.183	5.01545759442216e-138	1	Ank2
2.50160943402175e-141	0.986327787103172	0.473	0.041	2.58391238440106e-137	1	CG42392
2.94730160492473e-140	1.34749471847099	0.555	0.081	3.04426782772676e-136	1	sff
3.62757632110624e-140	1.13594421763478	0.684	0.151	3.74692358207063e-136	1	IRSp53
1.36152719705494e-138	2.15544665701693	0.515	0.068	1.40632144183805e-134	1	Ace
1.616125677569e-137	1.27682069186386	0.411	0.025	1.66929621236102e-133	1	Lim3
4.57682200359911e-137	1.84546323033696	0.654	0.138	4.72739944751752e-133	1	dysc
4.56830491009659e-135	1.12194951719007	0.61	0.11	4.71860214163877e-131	1	Tsp42Ej
1.04156969709135e-134	1.35372234948756	0.985	0.831	1.07583734012566e-130	1	RhoGAP19D
2.03065763538183e-134	1.32312288193255	0.857	0.272	2.09746627158589e-130	1	CG3961
2.09677760954505e-134	1.75968271341326	0.635	0.128	2.16576159289908e-130	1	Aplip1
8.01681002155824e-134	1.4323954945283	0.432	0.036	8.28056307126751e-130	1	CG15630
1.58483611068881e-133	1.11466026153274	0.673	0.166	1.63697721873048e-129	1	CG32638
1.50463383580627e-132	2.81342425442118	0.954	0.581	1.55413628900429e-128	1	Nrt
1.50905134235434e-132	1.0466175180802	0.985	0.798	1.5586991315178e-128	1	CG12025
4.17625284232171e-132	0.709556437603966	1	1	4.3136515608341e-128	1	CG9821
5.02775246223811e-132	1.03762722736841	0.992	0.869	5.19316551824574e-128	1	O-fut1
5.21056705276753e-130	1.25208493447993	0.502	0.06	5.38199470880359e-126	1	ro
6.85455645560459e-130	1.49122104763842	0.728	0.2	7.08007136299398e-126	1	Traf4
7.33975489484756e-130	0.772149582763367	1	0.999	7.58123283088804e-126	1	spen
1.97437099747179e-129	1.33394189741452	0.527	0.074	2.03932780328861e-125	1	VepD
3.44378667469506e-129	1.1996669746086	0.479	0.058	3.55708725629253e-125	1	qtc
4.90239428465658e-129	2.61473486993349	0.932	0.599	5.06368305662178e-125	1	betaTub60D
4.65691557245822e-128	-0.49124490821957	1	1	4.8101280947921e-124	1	RpL21
2.28784430053642e-127	1.42448080936461	0.918	0.453	2.36311437802407e-123	1	CG42747
3.59154589121564e-126	0.799901509981979	0.504	0.065	3.70970775103663e-122	1	CR44024
1.05707935915195e-125	1.00418252615611	0.669	0.169	1.09185727006805e-121	1	sba
1.85190148557753e-125	1.36545574047696	0.901	0.408	1.91282904445304e-121	1	Glut4EF
1.99211928191162e-125	1.09862970119475	0.538	0.086	2.05766000628651e-121	1	Sep4
2.43622319842286e-125	1.74200672880753	0.582	0.108	2.51637494165097e-121	1	Syt4
3.4203638315271e-125	1.86096928924243	0.53	0.09	3.53289380158434e-121	1	ths
1.2132992026548e-124	1.77057550351054	0.956	0.705	1.25321674642214e-120	1	CG2865
3.10009371600702e-124	0.761001582030143	1	1	3.20208679926365e-120	1	Oda
3.32324171764789e-124	0.792231691662264	1	0.999	3.43257637015851e-120	1	Akap200
7.14349407696863e-123	2.41744076613192	0.755	0.307	7.3785150321009e-119	1	CG17816
1.49653196808103e-121	2.34114364044391	0.669	0.185	1.54576786983089e-117	1	beat-IIIc
2.15743533068631e-121	1.49881639268059	0.637	0.163	2.22841495306589e-117	1	CG13894
5.07323716521076e-121	1.43621253868667	0.477	0.06	5.24014666794619e-117	1	para
6.27017059259138e-121	1.50247922355421	0.808	0.363	6.47645920508764e-117	1	GEFmeso
6.38879976457878e-121	-0.438319900109923	1	1	6.59899127683342e-117	1	RpL10
8.39473359275627e-121	1.38183166929637	0.935	0.648	8.67092032795795e-117	1	plum
1.63500225157752e-120	1.32359441893616	1	0.962	1.68879382565442e-116	1	Sdc
1.90938711233412e-120	-0.512281533984106	1	1	1.97220594832991e-116	1	RpS27A
2.88457230336936e-120	1.52210437022503	0.766	0.275	2.97947473215021e-116	1	tyn
3.14560133074533e-120	0.691924030536559	0.392	0.032	3.24909161452685e-116	1	Culd
5.57317388555349e-120	1.40897172556021	0.686	0.219	5.7565313063882e-116	1	stan
7.0798865629426e-120	-0.518082158232407	1	1	7.31281483086341e-116	1	RpS15Aa
8.65523700732823e-120	1.92083275598814	0.954	0.629	8.93999430486933e-116	1	elav
1.02230891811689e-119	1.88138260852608	1	0.869	1.05594288152294e-115	1	Fas2
1.08338797231259e-119	1.53278836746385	0.595	0.128	1.11903143660167e-115	1	CG6024
1.69475086843278e-119	1.11389611975885	0.996	0.804	1.75050817200422e-115	1	CG33978
1.7243160035717e-119	1.7344460867175	0.958	0.635	1.78104600008921e-115	1	obst-B
3.01029680531424e-119	1.68056388356586	0.968	0.774	3.10933557020908e-115	1	mam
5.45274572176911e-119	1.97905192983695	0.658	0.152	5.63214105601531e-115	1	twit
7.72174503653202e-119	0.698733072728429	0.363	0.023	7.97579044823393e-115	1	CG32698
1.61773292937233e-118	1.13923741767781	1	0.986	1.67095634274868e-114	1	lola
3.60056365641641e-118	0.867487601688317	0.331	0.015	3.71902220071251e-114	1	sv
4.57119562259678e-118	1.31955751755067	0.589	0.131	4.72158795858021e-114	1	unc-104
4.26986594103294e-117	1.50820397117457	0.827	0.426	4.41034453049293e-113	1	CNPYb
5.7693002139459e-117	1.9400295673066	0.608	0.146	5.95911019098472e-113	1	salm
2.21247540641459e-116	-0.921635130455634	1	1	2.28526584728563e-112	1	awd
7.23571182943684e-116	1.85714095577247	0.825	0.39	7.47376674862532e-112	1	px
1.45772375631672e-115	1.54305003003127	0.989	0.905	1.50568286789954e-111	1	CG7971
1.73814574998896e-115	-1.19231682344017	0.749	0.982	1.7953307451636e-111	1	Glo1
2.31021250522733e-115	0.498589655545977	0.3	0.008	2.38621849664931e-111	1	CG14655
2.46820797708243e-115	0.816033865250749	0.295	0.007	2.54941201952844e-111	1	CG17739
5.38726506630665e-115	1.00766454376866	0.346	0.02	5.56450608698814e-111	1	run
1.17282913521813e-114	1.25852170080124	0.926	0.539	1.21141521376681e-110	1	sano
1.27674665502949e-114	1.288736276465	0.964	0.655	1.31875161997996e-110	1	Tsp42Ea
2.8210846896496e-114	1.22522039466638	0.688	0.224	2.91389837593907e-110	1	ari-2
4.3234343753438e-114	1.19212509889786	0.867	0.495	4.46567536629262e-110	1	kst
4.7132723981999e-114	1.73049247492179	0.926	0.504	4.86833906010067e-110	1	mamo
9.77903158438853e-114	1.42015562832967	0.905	0.455	1.01007617235149e-109	1	drl
1.88344314134426e-113	1.93452627369538	0.899	0.558	1.94540842069448e-109	1	Spn
5.13600608883553e-113	1.36774444567508	0.92	0.656	5.30498068915822e-109	1	drongo
5.53763504803092e-113	-0.480608479301735	1	1	5.71982324111114e-109	1	RpS23
2.18908854137513e-112	2.01744476634122	0.966	0.788	2.26110955438637e-108	1	Abl
2.2252012355859e-112	0.542019985702794	0.316	0.014	2.29841035623667e-108	1	CG18765
3.13037040601018e-112	1.47738172766308	0.823	0.354	3.23335959236792e-108	1	pk
4.68409918255268e-112	-0.555282642093134	1	1	4.83820604565866e-108	1	ATPsynC
2.237385873659e-111	2.2780287586535	0.922	0.608	2.31099586890238e-107	1	CG9691
2.33719261722446e-111	0.74245654772108	0.278	0.006	2.41408625433114e-107	1	CG34007
2.93338031597213e-111	-0.467437118035006	1	1	3.02988852836761e-107	1	RpL19
5.18394369219678e-111	-0.412049413670401	1	1	5.35449543967006e-107	1	RpS15
9.17001931692509e-111	1.77583337536095	0.848	0.35	9.47171295245193e-107	1	Gasp
1.10438544557919e-110	1.54272367572812	0.935	0.597	1.14071972673875e-106	1	CG9689
3.4515357711346e-110	0.588167965208556	0.329	0.018	3.56509129800493e-106	1	spab
6.74867572327212e-110	1.45613449850109	0.325	0.018	6.97070715456778e-106	1	CG42458
9.0012453915278e-110	1.28752866335803	0.333	0.02	9.29738636490906e-106	1	DIP-delta
1.41895407625449e-109	1.3241071986704	0.996	0.942	1.46563766536326e-105	1	msi
1.58388129423909e-108	-0.378821733979489	1	1	1.63599098881956e-104	1	RpL7A
7.55062897602992e-108	1.99259214355695	0.633	0.169	7.79904466934131e-104	1	salr
1.18805852458821e-107	1.41451031413634	0.508	0.098	1.22714565004717e-103	1	CG12071
1.63384652734271e-107	1.04195554392161	0.932	0.628	1.68760007809229e-103	1	Socs36E
2.01904629460527e-107	1.76574730750746	0.656	0.222	2.08547291769779e-103	1	CG31038
2.13769821133166e-107	1.34367048277339	0.335	0.023	2.20802848248448e-103	1	CG17839
3.56919155282742e-107	1.99952373504005	0.962	0.822	3.68661795491545e-103	1	CG3408
1.17632954551162e-106	0.519631067876249	0.289	0.01	1.21503078755895e-102	1	HisCl1
2.44503131241387e-106	1.48713410966392	0.901	0.57	2.52547284259229e-102	1	Fas1
2.47982124654334e-106	1.28650873044818	0.882	0.461	2.56140736555462e-102	1	SKIP
9.70734430563761e-106	0.781423077721421	0.47	0.076	1.00267159332931e-101	1	CG31076
1.65609796716939e-105	0.991162470341387	0.354	0.03	1.71058359028926e-101	1	CG42337
6.10248218405072e-105	0.974055260008052	0.612	0.164	6.30325384790599e-101	1	CG9416
9.24580028556013e-105	1.54215420029697	0.593	0.125	9.54998711495506e-101	1	nrv3
9.57058709863443e-105	1.10435052225507	0.838	0.466	9.8854594141795e-101	1	Apf
2.05333035497599e-104	1.25195626232818	0.983	0.794	2.1208849236547e-100	1	glec
2.16869983559224e-104	1.04768760531066	0.582	0.125	2.24005006018323e-100	1	CG3556
5.27837172802149e-104	1.13049496344123	0.511	0.105	5.4520301578734e-100	1	Oatp30B
7.16899020550956e-104	-0.600392578772189	1	1	7.40484998327082e-100	1	eEF1beta
1.27284297174903e-103	0.952560657617263	1	0.994	1.31471950551958e-99	1	Tm1
3.12385676963472e-103	1.08173302518623	1	0.998	3.2266316573557e-99	1	pum
4.74798768970252e-103	1.01467127058192	0.517	0.1	4.90419648469373e-99	1	RhoGAP100F
5.75231255666959e-103	0.756394161343333	0.449	0.066	5.94156363978402e-99	1	CG43901
7.7644712761841e-103	0.935071240662455	0.536	0.103	8.01992238117056e-99	1	CG15765
1.6778741405078e-102	-0.721981579789903	1	1	1.73307619973051e-98	1	RpL34a
1.72228994109392e-102	-0.485572165541662	1	1	1.77895328015591e-98	1	RpL35
3.90754739246404e-102	-0.639983494966899	1	1	4.03610570167611e-98	1	bic
4.30619136892353e-102	0.936191856622729	0.998	0.892	4.44786506496112e-98	1	CG11486
4.69014703232522e-102	0.879781059437412	1	0.975	4.84445286968872e-98	1	Dlc90F
1.17675396427934e-101	2.11395830877062	0.47	0.089	1.21546916970413e-97	1	brp
1.3997961112541e-101	1.29331776076447	0.69	0.249	1.44584940331436e-97	1	Cht6
1.53186533943084e-101	-0.468615194489764	1	1	1.58226370909812e-97	1	RpL30
1.04541927227722e-100	-0.554714484742354	1	1	1.07981356633514e-96	1	Tctp
3.14853629977918e-100	1.52910926598764	0.728	0.307	3.25212314404191e-96	1	tfc
3.84410290881975e-100	-0.481539315041113	1	1	3.97057389451992e-96	1	RpL4
1.6350695218449e-99	-0.431710074639208	1	1	1.6888633091136e-95	1	RpL27
2.52675659002962e-99	1.07922829349789	0.684	0.24	2.6098868818416e-95	1	gukh
5.56888941501014e-99	1.21487459776679	0.941	0.777	5.75210587676397e-95	1	alpha-Spec
5.8699842513358e-99	1.23849999331862	0.994	0.959	6.06310673320475e-95	1	Nrg
8.67153156613308e-99	0.630884981373346	0.321	0.024	8.95682495465886e-95	1	CG10089
1.80383666111299e-98	-0.408528749897659	1	1	1.86318288726361e-94	1	RpL7
2.13557393335863e-98	0.808817920442835	0.449	0.073	2.20583431576613e-94	1	CG4133
2.14736300573045e-98	0.78915013407374	1	0.975	2.21801124861898e-94	1	sbb
2.30743314392983e-98	-0.437092108542812	1	1	2.38334769436512e-94	1	RpL6
2.99810601950511e-98	0.727866674117051	0.454	0.069	3.09674370754683e-94	1	nerfin-1
3.87982643287794e-98	-0.410911534455936	1	1	4.00747272251963e-94	1	RpS13
8.12178184822247e-98	-0.454618469413756	1	1	8.38898847102899e-94	1	RpL11
1.12480379086409e-97	-0.455146064999951	1	1	1.16180983558352e-93	1	RpLP1
1.14021685437049e-97	-0.406008061720597	1	1	1.17772998887928e-93	1	RpS4
1.56241433104347e-97	0.962476047235897	0.308	0.021	1.61381776253481e-93	1	Cpr97Ea
2.86286546969889e-97	0.541402972486355	0.255	0.007	2.95705374365198e-93	1	CG45105
2.87291133670147e-97	-0.39357921812627	1	1	2.96743011967895e-93	1	RpS17
9.00153250868814e-97	-0.927755193319549	0.958	0.997	9.29768292822398e-93	1	CG11267
5.5638216371228e-96	0.538721673984634	0.357	0.038	5.74687136898414e-92	1	Sobp
5.79696025649684e-96	0.545569869154686	0.989	0.816	5.98768024893559e-92	1	noe
6.44343096139112e-96	0.858355738551733	1	0.993	6.65541984002089e-92	1	Unr
8.82258236608487e-96	0.749254158446586	0.333	0.031	9.11284532592906e-92	1	Ca-beta
1.23882981484104e-95	-0.505883776220189	1	1	1.27958731574931e-91	1	Nacalpha
2.36162379036602e-95	-0.812841611740424	0.996	0.999	2.43932121306906e-91	1	Nlp
3.12684689293396e-95	0.936453961675719	0.928	0.731	3.22972015571149e-91	1	EMC8-9
4.6477542411483e-95	1.61232960267899	0.435	0.075	4.80066535568208e-91	1	tau
5.84156417685391e-95	1.12723192580921	0.451	0.073	6.0337516382724e-91	1	CG46301
8.87793769134093e-95	1.00547886060438	0.456	0.079	9.17002184138605e-91	1	Rbp
1.00937913132522e-94	1.14171120980814	0.681	0.249	1.04258770474582e-90	1	CG42663
1.01452044137033e-94	1.56759249646722	0.378	0.048	1.04789816389141e-90	1	dpr9
1.67174561278537e-94	-0.604241630846235	1	1	1.72674604344601e-90	1	Cyp1
1.67888376747e-94	1.15516225632447	1	0.996	1.73411904341976e-90	1	Hsromega
3.00858282078316e-94	0.953796769269614	0.979	0.839	3.10756519558693e-90	1	CG32767
3.45751110665128e-94	-0.448143291620014	1	1	3.57126322206011e-90	1	RpS12
3.50038227350273e-94	-1.31312442788276	0.916	0.975	3.61554485030097e-90	1	CG6891
8.03932782913248e-94	1.11731406995018	0.859	0.512	8.30382171471094e-90	1	unc-119
9.11221583194914e-94	0.759718324814962	0.422	0.061	9.41200773282027e-90	1	SK
9.51595481503925e-94	-0.369719960454854	1	1	9.82902972845404e-90	1	RpL37A
1.55852403313397e-93	1.157290760715	0.895	0.605	1.60979947382407e-89	1	Mob2
2.44559013174511e-93	-0.388488911779233	1	1	2.52605004707953e-89	1	RpS10b
3.49112163870064e-93	-0.479839932571906	1	1	3.60597954061389e-89	1	RpS2
3.59571340235974e-93	0.482416538985456	0.264	0.011	3.71401237329738e-89	1	CG13203
6.80311486212716e-93	1.07773456106752	0.941	0.678	7.02693734109114e-89	1	CG42674
6.98613856411014e-93	1.43737322828657	0.785	0.313	7.21598252286937e-89	1	CG13928
1.28497118152347e-92	1.58814316016039	0.538	0.126	1.32724673339559e-88	1	CG42492
1.7790712140758e-92	-0.453856970505954	1	1	1.83760265701889e-88	1	RpS19a
1.80546228351663e-92	0.867225623316845	0.648	0.221	1.86486199264432e-88	1	CG32137
4.63187109598489e-92	-0.677095755333043	1	1	4.78425965504279e-88	1	sesB
7.89982390403871e-92	-0.396819470769262	1	1	8.15972811048159e-88	1	RpS8
9.54743639001994e-92	1.60706737302605	0.576	0.171	9.8615470472516e-88	1	CR45185
9.89422680112685e-92	0.912625951617372	0.481	0.094	1.02197468628839e-87	1	CG13293
1.12451318495154e-91	0.783800448628567	0.441	0.077	1.16150966873645e-87	1	onecut
4.8997635908456e-91	0.812896074316634	0.511	0.117	5.06096581298442e-87	1	Fhos
7.22132161108233e-91	0.890708547087008	1	0.959	7.45890309208694e-87	1	CG6287
8.4544210016764e-91	1.22850991526181	1	0.936	8.73257145263155e-87	1	Atpalpha
8.71988731528013e-91	0.824484830423632	0.941	0.685	9.00677160795284e-87	1	Bgb
1.12254961118578e-90	0.940884580289609	0.897	0.482	1.1594814933938e-86	1	CR46006
2.69511492212153e-90	1.30753902165321	0.998	0.916	2.78378420305932e-86	1	hts
3.48468175331464e-90	1.1658832735053	0.492	0.112	3.5993277829987e-86	1	pyr
4.35926889301459e-90	0.891558584405575	0.373	0.048	4.50268883959477e-86	1	Actbeta
4.68949551310947e-90	1.01153485505937	0.954	0.766	4.84377991549077e-86	1	Lis-1
5.87579987507577e-90	-0.34957630109344	1	1	6.06911369096577e-86	1	RpS11
6.72544301250025e-90	0.957136238644754	0.726	0.315	6.9467100876115e-86	1	thoc5
6.87347124912189e-90	1.27775421789974	0.762	0.336	7.099608453218e-86	1	CR43314
1.25428982126276e-89	0.857167684447685	0.989	0.831	1.2955559563823e-85	1	corto
1.28281717549384e-89	-0.429395836413364	1	1	1.32502186056758e-85	1	RpS9
1.45096782474218e-89	0.952725997263153	0.728	0.267	1.49870466617619e-85	1	RhoGEF64C
1.62343764622411e-89	-0.397493695533229	1	1	1.67684874478489e-85	1	RpL27A
2.62709584742703e-89	0.963188789559895	0.757	0.371	2.71352730080738e-85	1	IntS3
3.36417529322528e-89	0.741160169183453	1	0.992	3.47485666037239e-85	1	Rsf1
1.05289038251034e-88	-0.370860134085936	1	1	1.08753047609493e-84	1	RpS18
1.06105477298562e-88	1.06708808735863	0.734	0.273	1.09596347501685e-84	1	CG43867
1.8161793838889e-88	0.703968255495875	1	0.972	1.87593168561884e-84	1	arm
2.85470118604328e-88	0.611817631505324	0.384	0.053	2.9486208550641e-84	1	Tace
3.20137625128476e-88	-0.501951964252373	1	1	3.30670152995203e-84	1	eEF1gamma
6.62881819285376e-88	1.18088406780663	0.895	0.532	6.84690631139865e-84	1	rgn
1.00822505670483e-87	0.828729730482705	0.996	0.851	1.04139566107042e-83	1	unc-13
2.66998751698373e-87	1.09278926101325	0.333	0.037	2.75783010629249e-83	1	CG1504
3.51427600890863e-87	0.579016904747905	0.312	0.028	3.62989568960173e-83	1	CG11029
2.96223101547764e-86	1.83994602798044	0.673	0.259	3.05968841588686e-82	1	CadN
3.64196359409234e-86	0.727066839343403	0.534	0.139	3.76178419633798e-82	1	CG15436
5.80082853330156e-86	1.37323038238404	0.994	0.93	5.99167579204718e-82	1	Eip75B
6.10415040017363e-86	0.665837650519335	1	0.98	6.30497694833935e-82	1	gish
9.48732929998527e-86	1.62065365552993	0.732	0.303	9.79946243395479e-82	1	Hsp67Bc
3.35911189888556e-85	1.47898531063459	0.492	0.111	3.46962668035889e-81	1	nSyb
3.89053715711162e-85	2.181792678674	0.466	0.104	4.01853582958059e-81	1	Dscam2
4.5964264484148e-85	-0.418652015392336	1	1	4.74764887856764e-81	1	RpL35A
5.29221149073706e-85	1.40158195075204	0.987	0.952	5.46632524878231e-81	1	aop
1.0981590946734e-84	1.04322009224042	0.994	0.838	1.13428852888815e-80	1	CG43759
1.18816504880233e-84	1.24198321971575	0.502	0.127	1.22725567890793e-80	1	sda
1.55033080659128e-84	-0.354133612458417	1	1	1.60133669012813e-80	1	RpL18A
1.91344865398355e-84	0.80513862264528	0.629	0.198	1.97640111469961e-80	1	tty
1.92331534666187e-84	0.757563440111288	0.331	0.036	1.98659242156705e-80	1	beat-VII
2.28577303050265e-84	-0.403067648812765	1	1	2.36097496320619e-80	1	RpL9
2.56234373326024e-84	-0.722965614241144	0.992	0.999	2.6466448420845e-80	1	Nap1
5.65174171321352e-84	1.0954952779557	0.975	0.801	5.83768401557824e-80	1	ena
1.43774191198428e-83	1.00541788420683	0.935	0.768	1.48504362088856e-79	1	Csk
1.72743738776586e-83	0.756578297798198	1	0.869	1.78427007782335e-79	1	pasi1
1.92010962283438e-83	1.15502911762063	0.369	0.056	1.98328122942563e-79	1	dpr12
2.83624278405236e-83	-0.368196398623906	1	1	2.92955517164768e-79	1	RpL18
3.45408852121154e-83	1.63372277928413	0.669	0.276	3.56772803355939e-79	1	rho
5.37725743592463e-83	1.65740816960528	0.285	0.024	5.55416920556655e-79	1	CG15522
8.74157776489596e-83	1.56843576053203	0.373	0.059	9.02917567336103e-79	1	Cow
9.15836627770401e-83	-0.372265570257369	1	1	9.45967652824047e-79	1	RpL10Ab
1.0324515204825e-82	0.953617069141877	0.996	0.976	1.06641917550637e-78	1	PMCA
3.4390242911337e-82	0.969297891249908	0.947	0.83	3.552168190312e-78	1	Eip63E
3.61300978288262e-82	0.668347589447412	0.331	0.04	3.73187780473945e-78	1	Fie
4.78206916493735e-82	1.02039027885734	0.781	0.426	4.93939924046379e-78	1	sdk
5.10710954916536e-82	-0.729711811451323	0.958	0.998	5.2751334533329e-78	1	janA
1.2782420944517e-81	-1.02187652509567	0.8	0.958	1.32029625935916e-77	1	CG6543
1.35442374122893e-81	-0.399105458923939	1	1	1.39898428231536e-77	1	Rack1
1.7554042832182e-81	1.57514834032646	0.854	0.659	1.81315708413608e-77	1	RapGAP1
2.95321293806982e-81	0.950810096137411	0.992	0.723	3.05037364373232e-77	1	CG42342
7.7204521909677e-81	1.00735947078796	0.447	0.09	7.97445506805054e-77	1	CG4587
1.04439257402815e-80	0.99306318653792	0.77	0.32	1.07875308971368e-76	1	CG9427
1.35850690842696e-80	-0.700293470302481	0.994	1	1.40320178571421e-76	1	eEF1delta
1.42851572510861e-80	-0.371038516334202	1	1	1.47551389246468e-76	1	RpS14a
1.66781556084725e-80	0.675133957413759	0.481	0.109	1.72268669279912e-76	1	B-H2
1.67990987115192e-80	-0.379304724492202	1	1	1.73517890591282e-76	1	RpS16
1.68839273899038e-80	-1.14362108818899	0.994	0.988	1.74394086010316e-76	1	Msp300
3.24206267129996e-80	-0.404274448744408	1	1	3.34872653318573e-76	1	sta
4.20669077287496e-80	2.64181243739137	0.532	0.153	4.34509089930254e-76	1	Rbp6
4.31855683558319e-80	1.00087584103547	0.511	0.125	4.46063735547388e-76	1	CG31030
4.72560442580033e-80	-0.359819130784579	1	1	4.88107681140916e-76	1	RpL36A
